answer;question
o;秋天是北京一年中最美好的季节。
o;他是一位有着 30 多年教龄的老教师。
o;做一件事情，只要开始行动，就算获得了一半的成功。
x;婺源是属于南宋著名学者朱熹的故里和中国铁路之父詹天佑的家乡。
x;天凉了，你要穿多点儿衣服。
o;老师的鼓励，使他信心大增。
o;昨天睡得很晚，所以第二天 9 点多我才醒来。
o;为防止在野外活动中迷路，你必须掌握定位和测向方法。
o;在家人的照顾下，他很快恢复了健康。
o;保持好的心情，关键是要有一个好的心态。
o;商业广告显然不同于公益广告，因为它带有明显的功利色彩。
x;为了防止今后不再发生类似的事件，有关部门及时完善了管理措施。
o;权力没有制约，必然会产生腐败。
o;不是每一次努力都会有收获，但是每一次收获都需要努力。
x;两个人在一起，遇到事至少可以商量商量一下，总比一个人好。
o;我是电影评论专业的一名研究生，去年一年我一共看了206部电影。
o;东西方在饮食习惯上存在着较大的差异。
x;18 世纪以后，世界人口的增长速度才加快明显起来。
o;经过几次搬迁之后，我们一家人终于在南京定居下来了。
o;一个十几岁的孩子能写出这样的文章来，简直令人难以相信。
x;有些电脑设计得很小巧，甚至可以放一个很薄的文件袋里。
o;快乐有助于长寿，有助于增加食欲，有助于提高工作效率。
o;草原上的天气变幻莫测，刚刚还是晴空万里，转眼间便乌云密布了。
o;重新认识农业，开拓农业新的领域，已成为当今世界农业发展的新趋势。
o;时间能抚平心灵的伤痛，因此人们常说时间是最好的医生。
o;能够了解社会各阶层的人物，对一个作家来说是极好的机会。
x;人们居住在地球上，是一块天然的大磁体，在南北两极有两个磁极。
o;生活就像一场旅行，不在乎目的地，而在乎沿途的风景和看风景的心情。
o;大约在公元 11 世纪宋朝的时候，人们开始玩一种叫做“蹴鞠”的游戏，它很像现代的足球。
o;骆驼最耐旱，它喝一次水后，可以几天几夜不喝水，行走如常，人们称之为“沙漠之舟”。
x;父亲经常说，美术教育的目的，是学生对每一种平凡的事物，都能有美的感触，都能欣赏到美。
o;金子可能就埋在你的脚下，就在离你不远处闪烁着诱人的光芒，关键在于，你有没有善于发现金子的眼光。
o;人人都需要关爱，关爱能增近两个人的感情，拉近两个人的距离。但是，这种关爱的前提是适度。
o;人们在财务困境中挣扎的一个原因是：他们在学校里学习多年，却没有学到任何关于金钱方面的知识。
o;1940 年 11 月 27 日出生的李小龙，虽然不是最早进入好莱坞的华人，却是最早成为国际巨星的功夫演员。
x;作为一名翻译工作者，一方面要努力学好外语，一方面要学好本民族语言也是非常重要的，两者缺一不可。
o;人应该善待自己，善待自己的最好方法是善待别人，善待别人的最好方法是宽容别人。
o;读了大半辈子书，倘若有人问我怎么选择一本书，我一定会毫不犹豫地回答：快乐是基本标准。
o;即将建成的水库，不仅能促进本地区工农业的发展，改善航运条件，而且还能起到防洪供水、调节气候的作用。
x;大禹治水的故事家喻户晓，但人们多是把大禹看做一个治水的英雄，实际上大禹最大的功能是，他是中国第一个民族国家——夏王朝的奠基人。
x;指南针是中国古代的四大发明。
o;这并不是一件什么大不了的事情，却很令我感动。
o;北斗七星由 7 颗星组成，连在一起时形状像一个勺子。
o;许多国家的人口统计显示，女性的平均寿命通常要比男性长5至10年。
o;孟子名柯，是继孔子之后的又一位儒学大师。
o;上海车展逢单年举办，与逢双年举办的北京车展南北辉映。
x;他们俩是在地下通道结识的，共同的爱好使他们决定一起合作成功。
o;每座城市都有它的文化记忆，这种记忆在老建筑上体现得尤为明显。
o;他再三叮嘱我要为他保守秘密。
x;在训练过程中，他为年轻队员们做好了带头作用。
o;每个人都有选择自己生活道路，决定自己生活方式的权利。
o;每到农历新年时，小孩子们都期盼着得到长辈们给的压岁钱。
o;在标准大气压下，气温低于 0℃时，水就会结成冰。
o;实际上，世上没有绝望的处境，只有对处境绝望的人。
o;在李大钊短暂的一生中，其言其行，都饱含着深沉的爱国情怀。
x;多读好书，就像和充满智慧的人聊天一样，可以丰富和提高我们的知识。
o;穿衣服不必一味追求名牌，但一定要注意搭配。
o;美酒配佳肴，古来有之，酒是节日餐桌上的必备品。
x;这是我同事小李的女儿，不仅年纪小，而且非常懂事。
o;这场雨断断续续一直下到第二天上午9点左右才结束。
x;因为身上没带多少钱，所以他今天在书店里只买了两本书籍。
o;李白是中国唐代伟大的浪漫主义诗人，被后人尊称为“诗仙”。
o;瑜伽进入中国已有多年，人们对于瑜伽的认识却仍然存在误区。
o;年画是祈福迎新的民间工艺品，承载了人们对未来的美好憧憬。
o;女人因为可爱而更美丽，因为成熟而更有魅力。
o;希望能带给人们无穷的力量，激励他们去克服困难。
x;别等他了，他这两天挺忙的，他今天估计一定不会来。
o;秋冬是流感高发季节，接种流感疫苗是预防流感最为有效的措施。
o;在千家万户的欢声笑语中，在千言万语的祝福声中，我们迎来了兔年春节。
o;网络语言，顾名思义，就是由网民创造，在网络上流行的语言，是网民约定俗成的表达方式。
o;对联，俗称对子，上下两联对仗工整，平仄协调，是中国特有的一种语言艺术，被国务院列入国家非物质文化遗产。
x;许多人一生都在等待一个可以改变他命运的机会。事实上，机会无所不在，而关键在于，当机会出现时，你已经是否准备好了。
x;正是这样的艰苦环境，磨炼了他的意志，使他从一个天真的孩子阶段成长为一个男子汉。
o;走进乌镇，走在那用青石板铺成的街道上，看着两边的民居和乡民，我感到格外亲切。
o;相比两个月前，他的身体状况有了很大的改善，他对自己这段时间的恢复情况还是十分满意的。
o;“世博会”被誉为世界经济、科技、文化的“奥林匹克”盛会，其特点是举办时间长、展出规模大、参展国家多、影响深远。
x;一个有生活情趣的人，是能够不断发现生活中的新乐趣，并且分享和感染身边其他人。
o;一杯清水会因滴入一滴污水而变得污浊，一杯污水却不会因一滴清水的存在而变清澈。
o;战斗机是一种主要用于与其他飞机进行作战的军用飞机，具有体积小、飞行速度快、机动性强等特点。
o;情侣之间产生争执的主要原因，是他们把爱当成一把雕刻刀，时时刻刻都想用这把刀把对方塑造得符合自己心中的理想。
o;回答问题之前，每个人有两分钟的准备时间。
o;一口健康洁白的牙齿，可以让你的笑容更迷人。
o;百余年来，外滩一直被世人看成是上海的象征。
x;顾虑太多，犹豫不决，就容易把机会从手中溜走。
o;当你遇到困难时，你要善于寻求帮助。
x;中国是扇子的故乡，在中国有着悠久的历史。
o;30 年里，他不停地用相机拍摄，记录了整个城市的变迁。
o;清代家具讲究精雕细刻，在雕梁画栋中融入了民间故事、神话传说。
o;这个网站我怎么也打不开，总是显示该网站无法访问。
o;时间是治疗心灵创伤的大师，但绝不是解决问题的高手。
o;“有谁愿意出价一万元买下这幅画吗？”拍卖师举槌问道。
x;这一天的活动是同学们这段时间最紧张、最愉快也是最有意义的一天。
x;昨天我从火车站出来的时候，天下了大雨。
o;鲸的体形像鱼，但却是用肺呼吸、胎生的哺乳动物。
o;伤害人的话语就像泼出去的水，一旦说出就永远无法收回。
o;有个成语叫“熟能生巧”，这里的“巧”其实就是不断重复练习的结果。
o;建造这个博物馆所需的经费是由他一个人筹集的。
o;这是我明天大会上的讲话提纲，想请你帮我修改修改。
o;山西汾酒是清香型白酒的典型代表，工艺精湛，源远流长。
x;他很有魅力，我每次看到他的时候都保持着他那独特的微笑。
o;要成功，需要朋友；要取得巨大的成功，需要敌人。
o;“打雪仗”历来是北方孩子冬季一项必不可少的活动。
o;帆布鞋以其轻便、耐穿、价格低廉而广受世界各地消费者的欢迎。
x;运动前要做好准备活动，特别是剧烈运动前要让膝关节一定充分活动。
o;绿豆汤有清热解毒、止渴消暑的功效。
o;饥饿能让本来不怎么好吃的东西变得很可口。
o;生活中，你会遇到各种各样的人，不要希望与每个人都能合拍。
x;至少在周代，饮食礼仪已形成一套相当完善的制度一直传承到现代。
o;包头剪纸有着别样的塞上风情，被称为“一部活着的中西部草原文化发展的史书”。
x;吐鲁番地处新疆天山东部的山间盆地，干燥少雨，日照充足，这里生长的水果格外甜蜜。
o;歇后语由两个部分构成，前半部分是形象的比喻，像谜面；后半部分是解释、说明，像谜底。
o;有了动物的存在，整个地球才充满生机；有了动物的陪伴，人类在浩瀚的宇宙中才不觉得孤独。
o;想卖出去一件商品，最好的办法可能是在它旁边摆上比它贵很多的同类产品。
o;俗话说“天生我材必有用”，每个人身上都有巨大的潜能，只是很多人不知道罢了。
o;汉高祖刘邦被誉为中国历史上最具传奇色彩的皇帝之一，“草根也能当皇上”的奇迹，就是从他开始创造的。
x;宝宝的口味跟成人的口味有着很大的差异，于是给宝宝烹调食物时一定要符合他的口味，做到色香味俱全，并且要经常花样翻新。
o;由于宋代官窑瓷器的私密性、非商品化生产等特点，宋代官窑瓷器在今天极其罕见。
x;所有物体之间都有引力，而一个物体的质量越大，它对别的物体的引力就会越来越大。
o;文物分析鉴定最古老、最传统的做法是目视法，即靠鉴定人员日积月累的经验来判断文物真伪和品质的方法。
o;银杏树生长较慢，从栽种到结果要20多年，40年后才能大量结果。山东有一棵大银杏树，相传是商代种植的，已有3500多年历史了。
o;不求与人相比，但求超越自己。
x;和观察新事物比起来，去观察用新的眼光更重要。
o;春联的“福”字一般要倒着贴，以表达“福到了”的美好愿望。
o;“书到用时方恨少”，平常若不充实学问，临时抱佛脚是来不及的。
o;生气是用别人的过错来惩罚自己。
o;世上只有想不通的人，没有走不通的路。
o;有时候，同样一件事情，我们可以去安慰别人，却说服不了自己。
x;人类的历史发展过程中，就是各种文明不断交流、融合、创新的过程。
x;他长得很身强力壮，个子大概在一米八五左右。
o;随着机票价格的下调，国内旅游线路的价格也跟着便宜了许多。
o;黄河是中华民族最主要的发源地之一，所以中国人称其为“母亲河”。
o;张家口生态资源富集，地形地貌独特，是旅游爱好者心目中的旅游胜地。
o;这座房子已经有 100 多年的历史了。
o;人离不开盐，盐是调味品，更是生命的必需品。
x;信阳毛尖香气清新，畅销全国，是中国十大名茶。
o;运气也许能使你抵达顶峰，但它不能使你永远呆在那儿。
o;雪梨味甘性寒，具清热化痰之功效，特别适合秋天食用。
o;能否处理好自己与他人的关系，往往是人们取得成功的关键。
x;他没来北京前，曾在一家省电视台做过一段时间的主持娱乐节目。
o;失败并不意味着你浪费了时间和生命，而是让你有理由重新开始。
o;只要朋友们找他帮忙，他总是满口答应。
o;要想接受新事物，我们必须先去除自己的成见。
x;当你用一根手指指着别人时，别忘了，而且三根指头指着自己。
o;“芝麻开花——节节高”是一句歇后语，意指事业或学业越来越好。
o;我们追求的常常不是幸福，而是“比别人幸福”。
o;在《三国演义》中，诸葛亮用智慧书写了人间传奇。
x;人的潜能是无限的，关键是要找到一个机会能充分发挥潜能的舞台。
o;阅读可以使学生开阔视野、增长见识，对学生的成长有着重要的影响。
x;花生含脂肪较多，人体对其消化吸收缓慢，大量生吃会引起产生消化不良。
o;每逢端午节，中国许多地方都有吃粽子、赛龙舟等习俗，以纪念伟大的爱国诗人屈原。
o;京杭大运河全长 1794 公里，是中国重要的南北水上干线，也是世界上最长的一条人工运河。
o;有研究表明，说话者触摸鼻子，意味着他在掩饰自己的谎话；聆听者做这个手势则说明他对说话者的话语表示怀疑。
o;市气象台预测，此次沙尘天气持续时间不会太长，明天风力减小后，天气就会转晴。
o;子曰：“知之为知之，不知为不知。”不懂没关系，可以慢慢学，千万不要不懂装懂。
o;中国的建筑，从古代的宫殿到近代的住房，绝大部分都是对称的，左边怎么样，右边也怎么样。
x;“五岳归来不看山，黄山归来不看岳。”黄山是天下名山中的极品，磅礴的日出、华丽的晚霞、壮观的云海，都能送给你无与伦比的享受。
o;“小李杜”指唐代诗人李商隐和杜牧，他们为晚唐业已没落的诗坛注入了新的生气和活力。
o;当你比别人强一点儿的时候，别人会嫉妒你；当你比他强太多的时候，他就只有敬佩的份儿了。
x;福州温泉的数量之多、水质之佳，在中国大中城市中是独一无二的，简直获得了“福州温泉甲东南”的美誉。
o;人最悲哀的，并不是昨天失去得太多，而是沉浸于昨天的痛苦之中；人最愚蠢的，并不是没有发现眼前的陷阱，而是第二次又掉了进去。
o;漫画是人们喜闻乐见的一种艺术形式。
x;雨下得非常大，他身上的衣服基本上完全湿透了。
o;虽说已经是春天了，但三月的北京仍然可能下雪。
o;三亚旅游资源得天独厚，是海南省风景名胜最多的地方。
o;许多人缺少的不是美，而是自信的气质。
o;天空中没有留下鸟的痕迹，但我已经飞过。
x;请把电视机的声音开一点儿小，不要打扰到其他人。
o;世事变迁，这座小城早已不是儿时记忆中的那个模样了。
o;有时候，清醒的头脑比聪明的头脑更重要。
o;这次会议，每人的发言时间不能超过 30 分钟。
x;祖冲之从小很早就对天文学和数学产生了浓厚的兴趣。
o;关于汉字的起源，中国有一个古老的传说，那就是“仓颉造字”。
x;大自然的许多奥妙是与人生的某些现象相似之处的。
o;每逢月末，学校的话剧团都会在这个礼堂里举办演出。
o;如果朋友让你生气，那正说明你仍然很在意他的友情。
o;有人说：真正的财富是健康的身体、简单的生活和愉悦的心情。
x;截止下午 5 点，入园参观人数已超过 15 万。
o;秦朝统一了货币、度量衡、文字，这对后世影响极大。
o;战国时期，民间开始流行举鼎，这应该算是最早的举重运动了。
o;几十年来，他一直从事文学创作，他的许多作品都深受读者欢迎。
o;那位老人内心平和，脸上带着婴儿般天真的微笑。
o;人在情绪低落的时候，适当吃些甜食，会让自己的心情好起来。
x;现在放弃等于半途而废，这意味着我们所做的努力之前都白费了。
o;一个人的穿着打扮、行为举止一定程度上反映了他的身份、地位和气质。
o;保持谦虚的态度，可以让我们学到更多的东西。
o;错过太阳的时候，如果你在哭泣，那你还会错过星星。
o;有一个成语人们常常说起，又常常忘记，那就是知足常乐。
x;春秋时候，越国有个名字西施的姑娘，她非常漂亮，一举一动都很动人。
x;研究表明，和夏天相比，冬天人们更容易回到集体之中，从事一些群体性活动的季节。
o;积极的完美主义者会鼓励别人不断进步，而消极的完美主义者则会不断对别人提出批评。
o;到 20 世纪 50 年代，地理学家们才用先进的技术测绘出海底世界，从而为人们展现了海底真实的状态。
o;麋鹿是中国特有的动物，因为“角似鹿非鹿、面似马非马、尾似驴非驴、蹄似牛非牛”，所以被俗称为“四不像”。
o;机会就像一扇迅速旋转的门，当那个空当转到你面前时，你必须迅速地挤进去。
o;一般来说，用清明前后采摘的茶叶嫩芽所制作的茶叶质量最佳，属于茶中的珍品。
o;在练习舞蹈的过程中，由于舞蹈动作连贯、有韵律，因此舞者常常会感到身心得到了极大的放松。
x;伟人之所以伟大，是因为当他与别人共处逆境时，别人已经失去了信心，何况他却下定决心要实现自己的目标。
o;越剧长于抒情，以唱为主，声腔优美动听，表演真切动人，极具江南灵秀之气。
o;从 1898 年成立京师大学堂至今，中国的现代高等教育已经走过了 110 多年的历史。
o;早在一个多世纪以前的科幻小说里，人类就开始在火星上散步了，然而直到今天，它仍然还只是科幻。
x;“蝴蝶效应”是指在一个动力系统中，初始条件下微小的变化会整个系统带来长期、巨大的连锁反应。
o;幸福是需要分享的，而痛苦是需要分担的。
x;能否保持谦虚的态度，可以让我们学到更多东西。
o;闻过则喜，能够坦然接受批评，是自信的一个突出标志。
o;如果一个人不知道他要驶向哪个码头，那么任何风都不会是顺风。
o;越是成熟的稻穗，越懂得弯腰。
x;我父亲热情好客，家里经常来客人很多。
o;下面我们有请王校长来给获奖选手颁发荣誉证书。
o;这本书是去年年底出版的，现在销量已达300万册。
o;他在这部戏中扮演的是一个反面角色。
o;狡猾和聪明的差距体现在道德上，而非智力上。
x;先行一步，也许是冒险，所以谁敢说冒险不是一种成功的契机？
o;蝶泳是游泳项目之一，从泳姿上看好像蝴蝶展翅飞舞，所以称为“蝶泳”。
x;一个人的伟大之处在于他能够意味着自己的渺小。
o;戒指是一种装饰品，它戴在哪根手指上代表着不同的意思。
o;洋流是地球表面热环境的主要调节者，它可以分为暖流和寒流。
o;经过20年的发展，他们的分公司已经遍布全球100多个国家和地区。
o;鲸鱼其实不是鱼，而是生活在海里的一种巨型哺乳动物。
o;陕西历史博物馆以其丰富的文物藏品，被誉为“华夏宝库”。
x;大麦茶是将大麦炒制后再经过沸煮，喝起来有一股浓浓的麦香味。
o;普洱茶，属于黑茶，因产地旧属云南普洱府（今普洱市），故得名。
o;若要躲避燃烧的痛苦，火柴一生都将黯淡无光。
o;这个世界上，没有比人更高的山，没有比心更宽的海。
o;八达岭长城位于北京延庆，是明长城最具代表性的一段。
x;虽然我在报社实习了一年的经验，但并不是说我就会进媒体这个行业。
o;快乐的人不是没有痛苦，而是不会被痛苦所左右。
o;九寨沟有“童话世界”的美称，已被列入世界遗产名录。
o;一个人的财富不是他口袋里有多少钱，而是他脑袋里有多少知识。
x;有时候，恰恰是那些带给你烦恼和不幸的人在促使地你不断地前进。
o;这本书讲述了东汉开国皇帝刘秀从一个底层农民成为天下雄主的传奇经历。
o;人生可以没有很多东西，却唯独不能没有希望。有希望之处，生命就会生生不息。
x;人一旦记住的事情，要几乎遗忘是不可能的；看似遗忘的事情，其实只是被锁在记忆的深处罢了。
o;奋斗令我们的生活充满生机，责任让我们的生命充满意义，常遇困境说明你在进步，常有压力说明你有目标。
o;要了解一个人，不妨看他读些什么书，这跟观察与他来往的朋友一样有效。
x;人生就是一场旅行，不在乎目的地，在乎的而是沿途的风景以及看风景的心情。
o;老舍一生创作了许多脍炙人口的文学作品，如《四世同堂》《骆驼祥子》《茶馆》《龙须沟》等。
o;三角洲是河流流入海洋或湖泊时，因流速减慢，所携带的泥沙大量沉积，逐渐发展成的冲积平原。因为从平面上看像一个三角形，所以叫三角洲。
o;“单木不成林”是说一棵树成不了一座森林，只有一个人也没有办法做成大事。
o;人生的最大遗憾，莫过于轻易地放弃了不该放弃的，固执地坚持了不该坚持的。
o;“妥协”二字的珍贵之处，不在于我们放弃了什么，而在于我们坚持了什么，哪怕只坚持了一点点。
x;有些网站可以免费申请个人主页的功能，这样，只要你将自己的信息放在网上，全世界的人都可以了解你了。
o;春风吹来，树枝摇曳着，发出沙沙的声响。
x;过了一会儿，汽车突然渐渐地放慢了速度。
o;值此新春佳节之际，祝大家新年快乐，万事如意！
o;经科学家观测，木星绕太阳公转一周大约需要12年。
x;这种不爱惜劳动成果，任意浪费是可耻的。
o;在工作人员的引导下，代表们陆续走进会场。
o;按照他给我的地址，我顺利地找到了那位母亲。
o;他站在那里一动不动，静静地听着那美妙的琴声。
o;如果您不想继续收到此类邮件，请点击退订。
o;烈日似火，大地像蒸笼一样，热得使人喘不过气来。
x;时间就像海绵里的水，要不然你愿意挤，总是有的。
o;心中装满自己看法与想法的人，永远听不见别人的心声。
o;人生重要的不是所站的位置，而是所朝的方向。
x;秦始皇陵兵马俑凝聚了世界各地慕名而来的参观者。
o;既然你这么在乎这次机会，那就应该尽全力做好准备。
o;说到河南，有一个地方不能不提，那就是“七朝古都”开封。
o;这部电视剧是根据曹禺的剧本《雷雨》改编的。
o;赤壁之战是中国历史上有名的以少胜多的战例。
x;夜深人静，想起明天发生的一连串事情，我怎么也睡不着。
o;宋代女词人李清照才思敏捷，一生留下了许多作品，有的堪称千古绝唱。
o;如果不能正确分析失败的原因，做再多的努力也于事无补。
o;只会幻想而不行动的人，永远也体会不到收获果实时的喜悦。
x;“鸡蛋里挑骨头”常用来被形容一个人无中生有，故意挑别人毛病。
o;面对同样的夜空，悲观者看到的是沉沉黑夜，乐观者看到的是满天繁星。
o;打哈欠有助于放松眼部肌肉，促进眼部血液循环。
o;栀子花芳香素雅，叶子四季常绿，是重要的庭院观赏植物。
x;茶树菇，民间称为“神菇”的美誉，是高蛋白、低脂肪的纯天然食用菌。
o;竹叶青是种常见的毒蛇，身体是绿色的，常吊挂或盘绕在溪边的树枝上。
o;昨天是一张废弃了的支票，明天是一笔尚未到期的存款，只有今天是你可以支配的现金。
x;双面绣《猫》是苏绣的代表作之一，不管从正面看还是从反面看，小猫的神态都能看到调皮、活泼。
o;风琴顶部缺了一个盖板，爸爸找做木匠的朋友重新配了一个，就这样，我又可以快乐地弹奏风琴了。
o;高速磁悬浮列车运行时与轨道完全不接触。它没有轮子和传动机构，列车的悬浮、导向、驱动和制动都是利用电磁力来实现的。
o;黄河东西跨越 23 个经度，南北相隔 10 个纬度，流域内地形和地貌变化很大。
o;这个石灰岩洞穴内的钟乳石，质地纯净、形态完美，具有很高的研究价值，应当予以保护。
x;一首好的曲子往往会令我们感动得热泪盈眶，原因之一，就是因为它能勾起我们对往事的回忆。
o;骆驼的驼峰里贮存着脂肪，在缺少食物的时候，这些脂肪能够分解成它所需要的养分，以维持其生存。
o;北京天桥，是老北京民俗文化的发源地与聚集地，也一直是北京首屈一指的演艺集聚区。
o;人对色彩的识别程度要大于对纹理、形状等的识别程度，所以人们对事物的第一印象首先是从色彩开始的。
o;许多时候，我们不是跌倒在自己的缺陷上，而是跌倒在自己的优势上，因为缺陷常给我们以提醒，而优势却常使我们忘乎所以。
x;进化论的一个观点基本是：在生物进化过程中，适应自然环境的物种得以生存下来，不适应的就被淘汰，这就是所谓的“优胜劣汰，适者生存”。
o;今年冬天的平均气温创近 28 年来新低。
x;有没有坚定的信念，是成功的先决条件。
